sentence,label,label_value,pred_label,max_pred_prob,all_prob,status,pred_new_label
I want to buy on EMI,EMI,0,EMI,0.9300383925437927,"{'EMI': 0.9300384, 'COD': 0.0026829946, 'ORTHO_FEATURES': 0.0054191314, 'ERGO_FEATURES': 0.0020402253, 'COMPARISON': 0.0027562117, 'WARRANTY': 0.0045703696, '100_NIGHT_TRIAL_OFFER': 0.0032828297, 'SIZE_CUSTOMIZATION': 0.0019058659, 'WHAT_SIZE_TO_ORDER': 0.0022455077, 'LEAD_GEN': 0.0027125517, 'CHECK_PINCODE': 0.0014156447, 'DISTRIBUTORS': 0.0042840145, 'MATTRESS_COST': 0.0059564444, 'PRODUCT_VARIANTS': 0.0033908838, 'ABOUT_SOF_MATTRESS': 0.004766098, 'DELAY_IN_DELIVERY': 0.002642923, 'ORDER_STATUS': 0.0073971134, 'RETURN_EXCHANGE': 0.0060031353, 'CANCEL_ORDER': 0.0027187103, 'PILLOWS': 0.0017868633, 'OFFERS': 0.001984043}",True,EMI
I want to buy this in installments,EMI,0,EMI,0.9228448271751404,"{'EMI': 0.9228448, 'COD': 0.002899055, 'ORTHO_FEATURES': 0.0076357783, 'ERGO_FEATURES': 0.002306773, 'COMPARISON': 0.0029473284, 'WARRANTY': 0.0050900383, '100_NIGHT_TRIAL_OFFER': 0.0036393346, 'SIZE_CUSTOMIZATION': 0.002016059, 'WHAT_SIZE_TO_ORDER': 0.0023970865, 'LEAD_GEN': 0.0027012734, 'CHECK_PINCODE': 0.001533562, 'DISTRIBUTORS': 0.004175515, 'MATTRESS_COST': 0.006445365, 'PRODUCT_VARIANTS': 0.0036452485, 'ABOUT_SOF_MATTRESS': 0.0049200295, 'DELAY_IN_DELIVERY': 0.0030758032, 'ORDER_STATUS': 0.007937091, 'RETURN_EXCHANGE': 0.0068630674, 'CANCEL_ORDER': 0.0028188005, 'PILLOWS': 0.0017637021, 'OFFERS': 0.0023443457}",True,EMI
0% Emi,EMI,0,EMI,0.9305316805839539,"{'EMI': 0.9305317, 'COD': 0.0024333124, 'ORTHO_FEATURES': 0.0053363317, 'ERGO_FEATURES': 0.0020050013, 'COMPARISON': 0.0027575067, 'WARRANTY': 0.0047141896, '100_NIGHT_TRIAL_OFFER': 0.003208126, 'SIZE_CUSTOMIZATION': 0.0017962297, 'WHAT_SIZE_TO_ORDER': 0.0022452818, 'LEAD_GEN': 0.002521623, 'CHECK_PINCODE': 0.0013082058, 'DISTRIBUTORS': 0.0041312827, 'MATTRESS_COST': 0.00647135, 'PRODUCT_VARIANTS': 0.0033276475, 'ABOUT_SOF_MATTRESS': 0.004932994, 'DELAY_IN_DELIVERY': 0.00252157, 'ORDER_STATUS': 0.0077073337, 'RETURN_EXCHANGE': 0.005841877, 'CANCEL_ORDER': 0.0025392307, 'PILLOWS': 0.0017331901, 'OFFERS': 0.0019360257}",True,EMI
Down payments,EMI,0,EMI,0.9160329103469849,"{'EMI': 0.9160329, 'COD': 0.003137091, 'ORTHO_FEATURES': 0.009003392, 'ERGO_FEATURES': 0.002513553, 'COMPARISON': 0.0032981727, 'WARRANTY': 0.005263031, '100_NIGHT_TRIAL_OFFER': 0.0036091618, 'SIZE_CUSTOMIZATION': 0.002042492, 'WHAT_SIZE_TO_ORDER': 0.0023755857, 'LEAD_GEN': 0.0031429902, 'CHECK_PINCODE': 0.0015111292, 'DISTRIBUTORS': 0.003966772, 'MATTRESS_COST': 0.0071275327, 'PRODUCT_VARIANTS': 0.0034671056, 'ABOUT_SOF_MATTRESS': 0.005559497, 'DELAY_IN_DELIVERY': 0.0029161868, 'ORDER_STATUS': 0.010072749, 'RETURN_EXCHANGE': 0.007862963, 'CANCEL_ORDER': 0.003052597, 'PILLOWS': 0.0019042012, 'OFFERS': 0.0021407409}",True,EMI
Installments,EMI,0,EMI,0.9124681353569031,"{'EMI': 0.91246814, 'COD': 0.0031857453, 'ORTHO_FEATURES': 0.008408624, 'ERGO_FEATURES': 0.002432696, 'COMPARISON': 0.0032246078, 'WARRANTY': 0.0057658735, '100_NIGHT_TRIAL_OFFER': 0.004024274, 'SIZE_CUSTOMIZATION': 0.0021412584, 'WHAT_SIZE_TO_ORDER': 0.0027224591, 'LEAD_GEN': 0.0031671228, 'CHECK_PINCODE': 0.0014979917, 'DISTRIBUTORS': 0.0049721883, 'MATTRESS_COST': 0.007852067, 'PRODUCT_VARIANTS': 0.0038943556, 'ABOUT_SOF_MATTRESS': 0.0050057354, 'DELAY_IN_DELIVERY': 0.003872071, 'ORDER_STATUS': 0.008082616, 'RETURN_EXCHANGE': 0.009132128, 'CANCEL_ORDER': 0.0032117327, 'PILLOWS': 0.0020743292, 'OFFERS': 0.0028641645}",True,EMI
How about Paisa finance,EMI,0,EMI,0.9242834448814392,"{'EMI': 0.92428344, 'COD': 0.0026875336, 'ORTHO_FEATURES': 0.0069036186, 'ERGO_FEATURES': 0.0021958544, 'COMPARISON': 0.002957821, 'WARRANTY': 0.0052900687, '100_NIGHT_TRIAL_OFFER': 0.003218164, 'SIZE_CUSTOMIZATION': 0.0019416326, 'WHAT_SIZE_TO_ORDER': 0.0022261, 'LEAD_GEN': 0.0027491315, 'CHECK_PINCODE': 0.0013834599, 'DISTRIBUTORS': 0.0038481886, 'MATTRESS_COST': 0.0069691795, 'PRODUCT_VARIANTS': 0.0034457245, 'ABOUT_SOF_MATTRESS': 0.005616653, 'DELAY_IN_DELIVERY': 0.0026162593, 'ORDER_STATUS': 0.008732352, 'RETURN_EXCHANGE': 0.006773581, 'CANCEL_ORDER': 0.0026019195, 'PILLOWS': 0.0016456961, 'OFFERS': 0.001913616}",True,EMI
Paisa finance service available,EMI,0,EMI,0.9246765375137329,"{'EMI': 0.92467654, 'COD': 0.002822726, 'ORTHO_FEATURES': 0.0074950634, 'ERGO_FEATURES': 0.002112827, 'COMPARISON': 0.0029400692, 'WARRANTY': 0.0053372895, '100_NIGHT_TRIAL_OFFER': 0.0032473023, 'SIZE_CUSTOMIZATION': 0.0020137727, 'WHAT_SIZE_TO_ORDER': 0.0020847227, 'LEAD_GEN': 0.0026781317, 'CHECK_PINCODE': 0.001465405, 'DISTRIBUTORS': 0.0037982264, 'MATTRESS_COST': 0.006966351, 'PRODUCT_VARIANTS': 0.003384028, 'ABOUT_SOF_MATTRESS': 0.004754514, 'DELAY_IN_DELIVERY': 0.002666967, 'ORDER_STATUS': 0.00833631, 'RETURN_EXCHANGE': 0.0069383318, 'CANCEL_ORDER': 0.0025965117, 'PILLOWS': 0.001630145, 'OFFERS': 0.0020548122}",True,EMI
What is minimum down payment,EMI,0,EMI,0.9014437198638916,"{'EMI': 0.9014437, 'COD': 0.0038783867, 'ORTHO_FEATURES': 0.012657798, 'ERGO_FEATURES': 0.0030054296, 'COMPARISON': 0.004106116, 'WARRANTY': 0.005429347, '100_NIGHT_TRIAL_OFFER': 0.005503367, 'SIZE_CUSTOMIZATION': 0.00263001, 'WHAT_SIZE_TO_ORDER': 0.002694975, 'LEAD_GEN': 0.0030591146, 'CHECK_PINCODE': 0.001876468, 'DISTRIBUTORS': 0.0041808356, 'MATTRESS_COST': 0.0071338126, 'PRODUCT_VARIANTS': 0.0046434063, 'ABOUT_SOF_MATTRESS': 0.007121556, 'DELAY_IN_DELIVERY': 0.003342347, 'ORDER_STATUS': 0.0116534, 'RETURN_EXCHANGE': 0.0072741634, 'CANCEL_ORDER': 0.0035967764, 'PILLOWS': 0.0020881044, 'OFFERS': 0.0026807894}",True,EMI
Paisa Finance is available,EMI,0,EMI,0.9245908260345459,"{'EMI': 0.9245908, 'COD': 0.0032843892, 'ORTHO_FEATURES': 0.0071301446, 'ERGO_FEATURES': 0.002121352, 'COMPARISON': 0.002858814, 'WARRANTY': 0.005518336, '100_NIGHT_TRIAL_OFFER': 0.0030789096, 'SIZE_CUSTOMIZATION': 0.0021898581, 'WHAT_SIZE_TO_ORDER': 0.0021908763, 'LEAD_GEN': 0.002774275, 'CHECK_PINCODE': 0.0015327827, 'DISTRIBUTORS': 0.0038782323, 'MATTRESS_COST': 0.0069856867, 'PRODUCT_VARIANTS': 0.0034680835, 'ABOUT_SOF_MATTRESS': 0.004885996, 'DELAY_IN_DELIVERY': 0.002901417, 'ORDER_STATUS': 0.007823184, 'RETURN_EXCHANGE': 0.006480447, 'CANCEL_ORDER': 0.0026124835, 'PILLOWS': 0.001673907, 'OFFERS': 0.00201998}",True,EMI
Do you accept Paisa EMI card,EMI,0,EMI,0.9302260279655457,"{'EMI': 0.930226, 'COD': 0.0026729233, 'ORTHO_FEATURES': 0.005997934, 'ERGO_FEATURES': 0.0020545255, 'COMPARISON': 0.0027479143, 'WARRANTY': 0.004619155, '100_NIGHT_TRIAL_OFFER': 0.0031941258, 'SIZE_CUSTOMIZATION': 0.0019171983, 'WHAT_SIZE_TO_ORDER': 0.0021393779, 'LEAD_GEN': 0.0025714815, 'CHECK_PINCODE': 0.0014918359, 'DISTRIBUTORS': 0.0039328937, 'MATTRESS_COST': 0.0058107306, 'PRODUCT_VARIANTS': 0.003220527, 'ABOUT_SOF_MATTRESS': 0.004593123, 'DELAY_IN_DELIVERY': 0.002427555, 'ORDER_STATUS': 0.008034504, 'RETURN_EXCHANGE': 0.006008391, 'CANCEL_ORDER': 0.0026758397, 'PILLOWS': 0.0016884721, 'OFFERS': 0.0019753987}",True,EMI
Can we buy through Paisa finance,EMI,0,EMI,0.9242512583732605,"{'EMI': 0.92425126, 'COD': 0.003098939, 'ORTHO_FEATURES': 0.007659313, 'ERGO_FEATURES': 0.0021008502, 'COMPARISON': 0.0030461224, 'WARRANTY': 0.0053164237, '100_NIGHT_TRIAL_OFFER': 0.003008279, 'SIZE_CUSTOMIZATION': 0.0020860934, 'WHAT_SIZE_TO_ORDER': 0.0021679262, 'LEAD_GEN': 0.0028475036, 'CHECK_PINCODE': 0.0016562284, 'DISTRIBUTORS': 0.004069405, 'MATTRESS_COST': 0.007142087, 'PRODUCT_VARIANTS': 0.0035711422, 'ABOUT_SOF_MATTRESS': 0.004505356, 'DELAY_IN_DELIVERY': 0.0027865688, 'ORDER_STATUS': 0.008251095, 'RETURN_EXCHANGE': 0.006382654, 'CANCEL_ORDER': 0.0024902408, 'PILLOWS': 0.0016460813, 'OFFERS': 0.0019165218}",True,EMI
EMI Option,EMI,0,EMI,0.9309110641479492,"{'EMI': 0.93091106, 'COD': 0.0026184034, 'ORTHO_FEATURES': 0.0052134804, 'ERGO_FEATURES': 0.0019955994, 'COMPARISON': 0.0026764406, 'WARRANTY': 0.0047377744, '100_NIGHT_TRIAL_OFFER': 0.0031176559, 'SIZE_CUSTOMIZATION': 0.0019111695, 'WHAT_SIZE_TO_ORDER': 0.0022424432, 'LEAD_GEN': 0.002415419, 'CHECK_PINCODE': 0.0013437571, 'DISTRIBUTORS': 0.003988579, 'MATTRESS_COST': 0.0061850743, 'PRODUCT_VARIANTS': 0.0032579363, 'ABOUT_SOF_MATTRESS': 0.00449812, 'DELAY_IN_DELIVERY': 0.002425872, 'ORDER_STATUS': 0.0076762377, 'RETURN_EXCHANGE': 0.006325578, 'CANCEL_ORDER': 0.0026043649, 'PILLOWS': 0.0017615427, 'OFFERS': 0.0020933854}",True,EMI
Paisa Finance,EMI,0,EMI,0.9224736094474792,"{'EMI': 0.9224736, 'COD': 0.002737533, 'ORTHO_FEATURES': 0.0069583664, 'ERGO_FEATURES': 0.0022552947, 'COMPARISON': 0.0029848563, 'WARRANTY': 0.005937171, '100_NIGHT_TRIAL_OFFER': 0.0029878924, 'SIZE_CUSTOMIZATION': 0.0020226694, 'WHAT_SIZE_TO_ORDER': 0.0021838374, 'LEAD_GEN': 0.0028094656, 'CHECK_PINCODE': 0.0013587787, 'DISTRIBUTORS': 0.003986171, 'MATTRESS_COST': 0.008403809, 'PRODUCT_VARIANTS': 0.003641564, 'ABOUT_SOF_MATTRESS': 0.0054682693, 'DELAY_IN_DELIVERY': 0.0027096695, 'ORDER_STATUS': 0.008437718, 'RETURN_EXCHANGE': 0.0066487202, 'CANCEL_ORDER': 0.0025124585, 'PILLOWS': 0.0016541413, 'OFFERS': 0.0018279606}",True,EMI
No cost EMI is available?,EMI,0,EMI,0.8928930759429932,"{'EMI': 0.8928931, 'COD': 0.004068818, 'ORTHO_FEATURES': 0.005834865, 'ERGO_FEATURES': 0.0028021948, 'COMPARISON': 0.003559859, 'WARRANTY': 0.00691342, '100_NIGHT_TRIAL_OFFER': 0.003787631, 'SIZE_CUSTOMIZATION': 0.0028382346, 'WHAT_SIZE_TO_ORDER': 0.0029914633, 'LEAD_GEN': 0.0033015264, 'CHECK_PINCODE': 0.0016543549, 'DISTRIBUTORS': 0.005345574, 'MATTRESS_COST': 0.023672277, 'PRODUCT_VARIANTS': 0.0044425093, 'ABOUT_SOF_MATTRESS': 0.0058866683, 'DELAY_IN_DELIVERY': 0.0033785356, 'ORDER_STATUS': 0.011194726, 'RETURN_EXCHANGE': 0.0071459305, 'CANCEL_ORDER': 0.0033527266, 'PILLOWS': 0.002082768, 'OFFERS': 0.002852848}",True,EMI
Is EMI available,EMI,0,EMI,0.9304901957511902,"{'EMI': 0.9304902, 'COD': 0.002678663, 'ORTHO_FEATURES': 0.0054314854, 'ERGO_FEATURES': 0.0020494293, 'COMPARISON': 0.002723803, 'WARRANTY': 0.004576481, '100_NIGHT_TRIAL_OFFER': 0.0031177327, 'SIZE_CUSTOMIZATION': 0.0018467832, 'WHAT_SIZE_TO_ORDER': 0.0022625849, 'LEAD_GEN': 0.0024590804, 'CHECK_PINCODE': 0.0015087129, 'DISTRIBUTORS': 0.004446045, 'MATTRESS_COST': 0.005959497, 'PRODUCT_VARIANTS': 0.0033545005, 'ABOUT_SOF_MATTRESS': 0.004902541, 'DELAY_IN_DELIVERY': 0.002517523, 'ORDER_STATUS': 0.0075238063, 'RETURN_EXCHANGE': 0.0056419265, 'CANCEL_ORDER': 0.0025691153, 'PILLOWS': 0.0017741339, 'OFFERS': 0.0021659709}",True,EMI
COD option is availble?,COD,1,COD,0.805457592010498,"{'EMI': 0.007277688, 'COD': 0.8054576, 'ORTHO_FEATURES': 0.0071044173, 'ERGO_FEATURES': 0.008153512, 'COMPARISON': 0.006267223, 'WARRANTY': 0.0072750407, '100_NIGHT_TRIAL_OFFER': 0.008105614, 'SIZE_CUSTOMIZATION': 0.011174509, 'WHAT_SIZE_TO_ORDER': 0.007012831, 'LEAD_GEN': 0.018564565, 'CHECK_PINCODE': 0.03134929, 'DISTRIBUTORS': 0.008705597, 'MATTRESS_COST': 0.006481827, 'PRODUCT_VARIANTS': 0.0072618877, 'ABOUT_SOF_MATTRESS': 0.0061324826, 'DELAY_IN_DELIVERY': 0.0052616955, 'ORDER_STATUS': 0.008656388, 'RETURN_EXCHANGE': 0.014785826, 'CANCEL_ORDER': 0.0077442476, 'PILLOWS': 0.0055520628, 'OFFERS': 0.011675698}",True,COD
Do you offer COD to my pincode?,COD,1,COD,0.796325147151947,"{'EMI': 0.00777629, 'COD': 0.79632515, 'ORTHO_FEATURES': 0.008354812, 'ERGO_FEATURES': 0.0092164315, 'COMPARISON': 0.007478496, 'WARRANTY': 0.008156418, '100_NIGHT_TRIAL_OFFER': 0.007979215, 'SIZE_CUSTOMIZATION': 0.009522423, 'WHAT_SIZE_TO_ORDER': 0.007144645, 'LEAD_GEN': 0.01907307, 'CHECK_PINCODE': 0.03282834, 'DISTRIBUTORS': 0.009159136, 'MATTRESS_COST': 0.0066755107, 'PRODUCT_VARIANTS': 0.008110893, 'ABOUT_SOF_MATTRESS': 0.006499803, 'DELAY_IN_DELIVERY': 0.0049992763, 'ORDER_STATUS': 0.010902888, 'RETURN_EXCHANGE': 0.016286343, 'CANCEL_ORDER': 0.008527013, 'PILLOWS': 0.0055237818, 'OFFERS': 0.009460045}",True,COD
Can I do COD?,COD,1,COD,0.8058335781097412,"{'EMI': 0.007853601, 'COD': 0.8058336, 'ORTHO_FEATURES': 0.007828867, 'ERGO_FEATURES': 0.00780866, 'COMPARISON': 0.0062499014, 'WARRANTY': 0.0070896107, '100_NIGHT_TRIAL_OFFER': 0.007931083, 'SIZE_CUSTOMIZATION': 0.008898005, 'WHAT_SIZE_TO_ORDER': 0.00714057, 'LEAD_GEN': 0.022337478, 'CHECK_PINCODE': 0.025713837, 'DISTRIBUTORS': 0.00920196, 'MATTRESS_COST': 0.006289145, 'PRODUCT_VARIANTS': 0.006827733, 'ABOUT_SOF_MATTRESS': 0.0062505244, 'DELAY_IN_DELIVERY': 0.0053614397, 'ORDER_STATUS': 0.010431334, 'RETURN_EXCHANGE': 0.01760564, 'CANCEL_ORDER': 0.009002381, 'PILLOWS': 0.0053963033, 'OFFERS': 0.008948404}",True,COD
COD,COD,1,COD,0.8016679883003235,"{'EMI': 0.0074407225, 'COD': 0.801668, 'ORTHO_FEATURES': 0.007807577, 'ERGO_FEATURES': 0.0075389245, 'COMPARISON': 0.0062845284, 'WARRANTY': 0.007376611, '100_NIGHT_TRIAL_OFFER': 0.0079772165, 'SIZE_CUSTOMIZATION': 0.009267381, 'WHAT_SIZE_TO_ORDER': 0.0070825666, 'LEAD_GEN': 0.02438674, 'CHECK_PINCODE': 0.023430198, 'DISTRIBUTORS': 0.00967827, 'MATTRESS_COST': 0.0074307523, 'PRODUCT_VARIANTS': 0.007435211, 'ABOUT_SOF_MATTRESS': 0.0064962176, 'DELAY_IN_DELIVERY': 0.0057297377, 'ORDER_STATUS': 0.011025731, 'RETURN_EXCHANGE': 0.018706523, 'CANCEL_ORDER': 0.009268403, 'PILLOWS': 0.0053675044, 'OFFERS': 0.00860124}",True,COD
